weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
46.376926,3,"Couple household, with no children",241.66084,1,5.7172155,0,5,0,0,0,0,0,0,0,0,0,1,51,10,1,0,0,559
46.376926,3,"Couple household, with no children",241.66084,1,5.7172155,0,5,0,0,0,0,0,0,0,0,0,1,34,6,0,0,0,559
23.188463,6,Three generation household,200.02763,1,5.3308678,0,4,0,1,25,0,0,0,0,0,0,1,69,13,1,0,0,560
23.188463,6,Three generation household,200.02763,1,5.3308678,0,4,0,1,25,0,0,0,0,0,0,1,42,8,0,0,0,560
23.188463,6,Three generation household,200.02763,1,5.3308678,0,4,0,1,25,0,0,0,0,0,0,1,28,5,1,0,1,560
23.188463,6,Three generation household,200.02763,1,5.3308678,0,4,0,1,25,0,0,0,0,0,0,1,8,1,1,0,1,560
23.188463,6,Three generation household,200.02763,1,5.3308678,0,4,0,1,25,0,0,0,0,0,0,1,7,1,0,0,0,560
27.826157,5,Three generation household,436.26257,1,5.8920627,0,9,1,1,30,0,0,0,0,0,0,1,39,7,0,0,0,561
27.826157,5,Three generation household,436.26257,1,5.8920627,0,9,1,1,30,0,0,0,0,0,0,1,30,6,1,0,0,561
27.826157,5,Three generation household,436.26257,1,5.8920627,0,9,1,1,30,0,0,0,0,0,0,1,6,1,0,0,0,561
27.826157,5,Three generation household,436.26257,1,5.8920627,0,9,1,1,30,0,0,0,0,0,0,1,4,0,0,0,0,561
27.826157,5,"Couple household, with no children",386.95282,1,5.27316,0,8,0,1,30,0,0,0,0,0,0,1,68,13,1,0,0,562
27.826157,5,"Couple household, with no children",386.95282,1,5.27316,0,8,0,1,30,0,0,0,0,0,0,1,49,9,0,0,1,562
27.826157,5,"Couple household, with no children",386.95282,1,5.27316,0,8,0,1,30,0,0,0,0,0,0,1,49,9,1,0,0,562
27.826157,5,"Couple household, with no children",386.95282,1,5.27316,0,8,0,1,30,0,0,0,0,0,0,1,22,4,0,0,0,562
34.782696,4,"Couple household, with children",220.87924,1,5.4861541,0,5,0,0,0,0,0,0,0,0,0,1,35,7,1,0,0,563
34.782696,4,"Couple household, with children",220.87924,1,5.4861541,0,5,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,563
34.782696,4,"Couple household, with children",220.87924,1,5.4861541,0,5,0,0,0,0,0,0,0,0,0,1,5,1,1,0,0,563
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,39,7,1,0,0,564
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,34,6,0,0,0,564
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,29,5,1,0,0,564
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,17,3,1,0,0,564
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,15,3,1,0,0,564
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,12,2,0,0,1,564
17.391348,8,Three generation household,303.66269,1,5.3738108,0,7,1,1,18.75,0,0,0,0,0,0,1,9,1,0,0,0,564
23.188463,6,Three generation household,219.20345,1,5.1320367,0,5,0,1,25,0,0,0,0,0,0,1,38,7,0,0,0,565
23.188463,6,Three generation household,219.20345,1,5.1320367,0,5,0,1,25,0,0,0,0,0,0,1,37,7,1,0,0,565
23.188463,6,Three generation household,219.20345,1,5.1320367,0,5,0,1,25,0,0,0,0,0,0,1,15,3,1,0,1,565
23.188463,6,Three generation household,219.20345,1,5.1320367,0,5,0,1,25,0,0,0,0,0,0,1,14,2,0,0,0,565
23.188463,6,Three generation household,219.20345,1,5.1320367,0,5,0,1,25,0,0,0,0,0,0,1,2,0,1,0,0,565
23.188463,6,Three generation household,223.51714,1,5.7644963,0,5,1,1,25,0,0,0,0,0,0,1,39,7,0,0,0,566
23.188463,6,Three generation household,223.51714,1,5.7644963,0,5,1,1,25,0,0,0,0,0,0,1,35,7,1,0,0,566
