weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab,hhid
47.89871978759766,6,"Couple household, with children",2943.1267,1,8.1333179,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3223
47.89871978759766,6,"Couple household, with children",2943.1267,1,8.1333179,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,3223
31.14903831481934,2,Skipped generation,4315.4478,1,8.6188917,0,6,1,0,0,0,0,0,0,0,0,1,5,1,0,0,0,3224
38.47519683837891,2,"Couple household, with no children",7701.5015,1,8.7326069,0,9,1,0,0,0,0,0,0,0,0,1,53,10,0,0,0,3225
44.89459609985352,6,"Couple household, with children",3179.2754,1,8.1676617,0,3,0,0,0,0,0,0,0,0,0,1,38,7,Женский,0,0,3226
44.89459609985352,6,"Couple household, with children",3179.2754,1,8.1676617,0,3,0,0,0,0,0,0,0,0,0,1,16,3,Женский,0,0,3226
44.89459609985352,6,"Couple household, with children",3179.2754,1,8.1676617,0,3,0,0,0,0,0,0,0,0,0,1,13,2,Женский,0,0,3226
44.89459609985352,6,"Couple household, with children",3179.2754,1,8.1676617,0,3,0,0,0,0,0,0,0,0,0,1,10,2,0,0,0,3226
44.89459609985352,6,"Couple household, with children",3179.2754,1,8.1676617,0,3,0,0,0,0,0,0,0,0,0,1,7,1,Женский,0,0,3226
46.89747619628906,3,Single parent/caregiver (<60 years),3919.0825,1,8.236022,0,5,1,0,0,0,0,0,0,0,0,1,15,3,0,0,0,3227
46.89747619628906,3,Single parent/caregiver (<60 years),3919.0825,1,8.236022,0,5,1,0,0,0,0,0,0,0,0,1,5,1,Женский,0,0,3227
36.94377517700195,2,Other household types,5139.3945,1,8.6939983,0,7,1,0,0,0,0,0,0,0,0,1,21,4,0,0,0,3228
50.19255828857422,5,"Couple household, with children",2658.8201,1,8.2337542,100,2,0,0,0,0,0,0,0,0,0,1,27,5,Женский,0,0,3229
50.19255828857422,5,"Couple household, with children",2658.8201,1,8.2337542,100,2,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0,3229
50.19255828857422,5,"Couple household, with children",2658.8201,1,8.2337542,100,2,0,0,0,0,0,0,0,0,0,1,6,1,Женский,0,0,3229
50.19255828857422,5,"Couple household, with children",2658.8201,1,8.2337542,100,2,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,3229
39.35103988647461,5,"Couple household, with children",3596.0186,1,8.2216091,0,4,0,0,0,0,0,0,0,0,0,1,38,7,Женский,0,0,3230
39.35103988647461,5,"Couple household, with children",3596.0186,1,8.2216091,0,4,0,0,0,0,0,0,0,0,0,1,13,2,0,0,0,3230
39.35103988647461,5,"Couple household, with children",3596.0186,1,8.2216091,0,4,0,0,0,0,0,0,0,0,0,1,11,2,Женский,0,0,3230
39.35103988647461,5,"Couple household, with children",3596.0186,1,8.2216091,0,4,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,3230
37.19882202148438,2,"Couple household, with no children",5867.1494,1,8.7340956,0,8,0,0,0,0,0,0,0,0,0,1,53,10,Женский,0,0,3235
43.89873123168945,3,Skipped generation,3606.511,1,8.4265413,0,4,0,1,0,0,0,0,0,0,0,1,68,13,Женский,0,0,3236
43.89873123168945,3,Skipped generation,3606.511,1,8.4265413,0,4,0,1,0,0,0,0,0,0,0,1,11,2,0,0,0,3236
43.01584625244141,7,Three generation household,3065.9026,1,8.0991716,0,3,0,0,0,0,0,0,0,0,0,1,60,12,Женский,0,0,3239
43.01584625244141,7,Three generation household,3065.9026,1,8.0991716,0,3,0,0,0,0,0,0,0,0,0,1,30,6,0,0,0,3239
43.01584625244141,7,Three generation household,3065.9026,1,8.0991716,0,3,0,0,0,0,0,0,0,0,0,1,29,5,Женский,0,0,3239
43.01584625244141,7,Three generation household,3065.9026,1,8.0991716,0,3,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,3239
43.01584625244141,7,Three generation household,3065.9026,1,8.0991716,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3239
43.01584625244141,7,Three generation household,3065.9026,1,8.0991716,0,3,0,0,0,0,0,0,0,0,0,1,0,0,Женский,0,0,3239
