hhid,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,female_head,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,current_B,value_B,rural,age,age5yrs,sex,pension,disab
30185,694.770751953125,3,"Couple household, with children",2738.9326,1,8.4789038,100,2,0,0,0,0,0,0,0,0,0,0,45,9,0,0,0
30186,765.1549072265625,4,"Couple household, with children",2440.4873,1,8.3345785,100,1,1,0,0,0,0,0,0,0,0,0,58,11,Женский,0,0
30188,736.9905395507813,5,"Couple household, with children",1827.083,1,8.2802162,100,1,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0
30189,822.447265625,4,Single parent/caregiver (<60 years),2378.8342,1,8.189662,100,1,1,0,0,0,0,0,0,0,0,0,33,6,Женский,0,0
30190,765.4563598632813,2,"Couple household, with no children",4637.3955,1,8.6137094,0,6,0,0,0,0,0,0,0,0,0,0,24,4,0,0,0
30191,418.25,1,"One-person household, 60+ years",6307.6509,1,8.9590158,0,8,0,1,0,0,0,0,0,0,0,0,71,14,0,0,0
30193,721.9530029296875,5,"Couple household, with children",2057.2185,1,8.2649984,100,1,0,0,0,0,0,0,0,0,0,0,45,9,0,0,0
30195,686.5624389648438,4,"Couple household, with no children",1916.4065,1,8.467474,100,1,0,0,0,0,0,0,0,0,0,0,56,11,0,0,0
30197,703.6852416992188,5,"Couple household, with children",2076.7002,1,8.2462807,100,1,0,0,0,0,0,0,0,0,0,0,56,11,0,0,0
30199,552.665283203125,4,"Couple household, with no children",2316.55,1,8.4674339,100,1,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
30200,651.231689453125,4,"Couple household, with children",2551.4143,1,8.5111647,100,1,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
30201,656.0679321289063,2,Single parent/caregiver (<60 years),4898.9907,1,8.5374908,0,6,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0
30204,793.5796508789063,3,"Couple household, with children",3188.8428,1,8.4540281,0,3,1,0,0,0,0,0,0,0,0,0,37,7,Женский,0,0
30205,546.2488403320313,2,"Couple household, with no children",4857.3203,1,8.7651176,0,6,0,0,0,0,0,0,0,0,0,0,53,10,0,0,0
30206,846.4959716796875,6,"Couple household, with children",1730.7306,1,8.0625057,100,1,0,0,0,0,0,0,0,0,0,0,38,7,0,0,0
30209,872.9032592773438,4,Other household types,2543.5544,1,8.5361481,100,1,0,0,0,0,0,1,0,0,0,0,56,11,0,0,0
30211,219.660400390625,5,Three generation household,4013.7195,1,8.2433109,0,5,0,0,0,0,0,0,0,0,0,1,57,11,0,0,0
30212,182.4157867431641,7,"Couple household, with children",4168.0845,1,7.9800453,0,5,0,0,0,0,0,0,0,0,0,1,52,10,0,0,0
30213,206.3077545166016,6,"Couple household, with children",5567.6396,1,8.034009,0,7,0,0,0,0,0,0,0,0,0,1,40,8,0,0,0
30216,229.2303161621094,5,"Couple household, with children",5643.9219,1,8.2244568,0,8,0,0,0,0,0,0,0,0,0,1,36,7,0,0,0
30217,208.4957580566406,7,Three generation household,4262.9258,1,8.1125565,0,5,1,0,0,0,0,0,0,0,0,1,64,12,Женский,0,0
30218,171.3609466552734,4,"Couple household, with children",6280.6206,1,8.2923689,0,8,0,0,0,0,0,0,0,0,0,1,53,10,0,0,0
30221,668.6657104492188,3,"Couple household, with children",4221.252,1,8.4912958,0,5,0,0,0,0,0,0,0,0,0,0,50,10,0,0,0
30222,840.5438842773438,5,Single parent/caregiver (<60 years),3011.843,1,8.010747,0,2,1,0,0,0,0,0,0,0,0,0,31,6,Женский,0,0
30223,668.6657104492188,3,"Couple household, with no children",5542.4902,1,8.6079559,0,7,0,0,0,0,0,0,0,0,0,0,48,9,0,0,0
30224,718.229736328125,3,Single parent/caregiver (<60 years),6334.8833,1,8.3687248,0,8,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0
30225,914.3015747070313,7,"Couple household, with children",2204.1909,1,7.9501934,100,1,0,0,0,0,0,0,0,0,0,0,34,6,0,0,0
30226,852.8762817382813,6,Other household types,2663.4773,1,8.1277037,100,2,1,0,0,0,0,1,0,0,0,0,57,11,Женский,0,0
30227,797.2335815429688,3,Single parent/caregiver (<60 years),3694.2732,1,8.3767014,0,4,1,0,0,0,0,0,0,0,0,0,35,7,Женский,0,0
30228,657.5326538085938,4,"Couple household, with children",4889.7271,1,8.5351496,0,6,0,0,0,0,0,0,0,0,0,0,52,10,0,0,0
30229,818.6422729492188,3,"Couple household, with children",4377.0225,1,8.3965664,0,5,1,0,0,0,0,0,0,0,0,0,42,8,Женский,0,0
30230,712.1375732421875,4,"Couple household, with children",2971.4944,1,8.4814138,0,2,0,0,0,0,0,0,0,0,0,0,54,10,0,0,0
30231,815.9991455078125,7,"Couple household, with children",2679.5239,1,8.0633211,100,2,1,0,0,0,0,0,0,0,0,0,43,8,Женский,0,0
30232,736.0635375976563,3,"Couple household, with no children",8183.686,1,8.6159821,0,9,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
30233,781.7980346679688,9,Three generation household,3851.3496,1,7.8370433,0,4,1,0,0,0,0,0,0,0,0,0,64,12,Женский,0,0
30235,770.3543701171875,7,Three generation household,3977.0811,1,7.9730778,0,5,1,0,0,0,0,0,0,0,0,0,74,14,Женский,0,0
30236,744.8821411132813,6,"Couple household, with children",4532.4116,1,8.115736,0,6,0,0,0,0,0,0,0,0,0,0,48,9,0,0,1
30237,821.961181640625,4,"Couple household, with children",6391.9375,1,8.3714561,0,8,0,0,0,0,0,0,0,0,0,0,42,8,0,0,0
30238,600.3626098632813,4,Skipped generation,5578.02,1,8.446146,0,7,0,1,0,0,0,0,0,0,0,0,68,13,0,0,0
30239,751.5568237304688,6,"Couple household, with children",4065.2009,1,8.1031771,0,5,0,0,0,0,0,0,0,0,0,0,49,9,0,0,0
30240,630.42724609375,3,"Couple household, with children",6513.001,1,8.6043091,0,8,0,0,0,0,0,0,0,0,0,0,51,10,0,0,0
30241,740.767333984375,5,"Couple household, with children",5054.8735,1,8.2349434,0,7,0,0,0,0,0,0,0,0,0,0,47,9,0,0,0
30242,479.4845581054688,3,Three generation household,6179.1714,1,8.5333691,0,8,0,0,0,0,0,0,0,0,0,1,62,12,0,0,0
30244,648.2268676757813,3,Other household types,5764.2109,1,8.6140327,0,8,1,0,0,0,0,0,0,0,0,0,62,12,Женский,0,0
30247,533.64697265625,2,"Couple household, with no children",11559.384,1,8.9034977,0,10,0,0,0,0,0,0,0,0,0,0,55,11,0,0,0
30249,676.202392578125,5,"Couple household, with children",5012.9717,1,8.3469057,0,7,0,0,0,0,0,0,0,0,0,0,58,11,0,0,0
30252,637.6078491210938,3,Skipped generation,6303.8315,1,8.4444752,0,8,1,0,0,0,0,0,0,0,0,0,66,13,Женский,0,0
30254,675.1268310546875,4,"Couple household, with children",4574.4263,1,8.5361042,0,6,0,0,0,0,0,0,0,0,0,0,53,10,0,0,0
30255,760.584228515625,9,Three generation household,2566.9629,1,7.8208404,100,1,0,0,0,0,0,0,0,0,0,0,60,12,0,0,0
