hhid,rural,female_head,weight,hhsize,hhtype3,adj_welfare,adj_factor,pmt,pov,decile,current_B,value_B,current_oldA,value_oldA,current_childA,value_childA,current_disabA,value_disabA,age,age5yrs,sex,disab
1,0,0,2078.5532,4,"Couple household, with no children",84706.969,1.1017773,,0,8,0,0,0,0,0,0,0,0,48,9,1,0
2,0,0,2078.5532,5,"Couple household, with children",106879.03,1.1017773,,0,9,1,220.35547,0,0,0,0,0,0,29,5,0,0
3,0,0,2078.5532,4,"Couple household, with children",66167.984,1.1017772,,0,7,0,0,0,0,0,0,0,0,19,3,1,0
4,0,1,2078.5532,1,"One-person household, 60+ years",103420.07,1.1017773,,0,9,0,0,0,0,0,0,0,0,66,13,1,0
5,0,1,2078.5532,5,Three generation household,49367.48,1.1017772,11.095559,0,5,0,0,0,0,0,0,0,0,69,13,1,0
6,0,1,2078.5532,5,Other household types,119892.39,1.1017772,10.727988,0,10,0,0,0,0,0,0,0,0,54,10,1,0
7,0,1,2078.5532,5,Three generation household,48887.195,1.1017773,,0,5,0,0,1,168000,0,0,0,0,53,10,0,1
8,0,0,2078.5532,4,Three generation household,165117.02,1.1017773,,0,10,0,0,0,0,0,0,0,0,84,16,1,0
9,0,0,2078.5532,7,"Couple household, with children",53271.266,1.1017772,,0,6,0,0,0,0,0,0,0,0,25,5,1,0
10,0,0,2078.5532,3,"Couple household, with children",123553.7,1.1017772,,0,10,0,0,0,0,0,0,0,0,37,7,1,0
11,0,1,2078.5532,1,"One-person household, 60+ years",96602.977,1.1017772,10.960412,0,9,0,0,0,0,0,0,0,0,69,13,1,0
12,0,0,2078.5532,5,Three generation household,51326.223,1.1017773,,0,5,1,48.55653,0,0,1,220.35547,0,0,9,1,1,0
13,1,0,8839.4785,3,"Couple household, with no children",76557.727,1.1017773,10.824865,0,8,0,0,0,0,0,0,0,0,60,12,0,0
14,1,0,8839.4785,5,"Couple household, with children",35118.637,1.1017772,,1,3,1,97.113037,0,0,1,440.71088,0,0,37,7,0,1
15,1,0,8839.4785,4,"Couple household, with children",123589.48,1.1017772,,0,10,1,75.86956,0,0,1,275.44431,0,0,9,1,1,0
16,1,0,8839.4785,6,"Couple household, with children",120153.16,1.1017772,10.68391,0,10,1,33.719807,0,0,1,183.62953,0,0,23,4,0,0
17,1,0,8839.4785,5,"Couple household, with children",23060.57,1.1017773,10.429464,1,1,0,0,0,0,0,0,0,0,8,1,1,0
18,1,0,8839.4785,5,"Couple household, with children",59791.48,1.1017772,,0,6,0,0,0,0,0,0,0,0,5,1,0,0
19,1,0,8839.4785,7,Three generation household,77762.07,1.1017772,10.7785,0,8,0,0,0,0,0,0,0,0,77,15,0,0
20,1,0,8839.4785,6,Three generation household,34487.828,1.1017772,,1,3,0,0,0,0,0,0,0,0,81,16,0,0
21,1,0,8839.4785,8,Other household types,27697.738,1.1017772,10.199868,1,2,0,0,0,0,0,0,0,0,47,9,0,0
22,1,0,8839.4785,3,"Couple household, with children",63691.738,1.1017772,,0,7,0,0,0,0,0,0,0,0,2,0,0,
23,1,0,8839.4785,5,"Couple household, with children",45072.512,1.1017772,,0,4,1,48.556519,0,0,1,220.35544,0,0,38,7,0,1
24,1,0,8839.4785,7,"Couple household, with children",95622.781,1.1017772,,0,9,0,0,0,0,0,0,0,0,31,6,0,0
25,1,0,5137.6206,5,"Couple household, with no children",53198.594,1.1017773,10.71229,0,6,0,0,0,0,0,0,0,0,49,9,1,0
26,1,0,5137.6206,7,Three generation household,51466.504,1.1017772,,0,5,1,49.54747,0,0,1,314.79349,0,0,7,1,1,0
27,1,0,5137.6206,3,"Couple household, with children",90817.047,1.1017773,,0,9,0,0,0,0,0,0,0,0,30,6,0,0
28,1,0,5137.6206,5,"Couple household, with children",31680.152,1.1017773,,1,2,0,0,0,0,0,0,0,0,13,2,1,0
29,1,0,5137.6206,6,"Couple household, with children",53443.906,1.1017772,,0,6,1,33.719807,0,0,1,183.62953,0,0,45,9,0,1
30,1,1,5137.6206,4,Other household types,265745.91,1.1017772,11.474829,0,10,0,0,0,0,0,0,0,0,62,12,1,1
31,1,1,5137.6206,9,Other household types,23752.143,1.1017772,,1,1,1,29.97316,0,0,1,244.83937,0,0,40,8,1,0
32,1,0,5137.6206,6,"Couple household, with children",57628.875,1.1017772,,0,6,0,0,0,0,0,0,0,0,7,1,0,1
33,1,1,5137.6206,2,Other household types,49868.621,1.1017772,,0,5,0,0,0,0,0,0,0,0,31,6,1,0
34,1,0,5137.6206,2,Other household types,135926.95,1.1017772,,0,10,0,0,0,0,0,0,0,0,40,8,0,0
35,1,0,5137.6206,4,"Couple household, with children",43246.77,1.1017772,,0,4,0,0,0,0,0,0,0,0,6,1,1,0
36,1,0,5137.6206,4,"Couple household, with children",48921.973,1.1017772,,0,5,0,0,0,0,0,0,0,0,37,7,1,1
37,1,0,5753.9834,5,"Couple household, with children",83427.938,1.1017772,,0,8,1,48.556519,0,0,1,220.35544,0,0,10,2,0,0
38,1,0,5753.9834,4,"Couple household, with children",65379.121,1.1017773,,0,7,1,75.869583,0,0,1,275.44434,0,0,36,7,0,1
39,1,0,5753.9834,1,"One-person household, 60+ years",76497.867,1.1017772,11.041681,0,8,0,0,0,0,0,0,0,0,78,15,0,0
40,1,0,5753.9834,7,Other household types,66937.734,1.1017772,,0,7,0,0,0,0,0,0,0,0,27,5,0,1
41,1,0,5753.9834,2,"Couple household, with no children",114294.74,1.1017772,10.879588,0,9,0,0,0,0,0,0,0,0,48,9,1,0
42,1,1,5753.9834,2,Single parent/caregiver (<60 years),147764.38,1.1017772,,0,10,1,303.47824,0,0,1,550.88861,0,0,7,1,0,0
43,1,0,5753.9834,4,"Couple household, with children",83701.5,1.1017772,10.980819,0,8,0,0,0,0,0,0,0,0,55,11,0,0
44,1,0,5753.9834,3,"Couple household, with children",251420.33,1.1017772,,0,10,0,0,0,0,0,0,0,0,49,9,1,0
45,1,0,5753.9834,4,"Couple household, with no children",237427.25,1.1017772,11.346461,0,10,0,0,0,0,0,0,0,0,36,7,0,0
46,1,0,5753.9834,4,"Couple household, with children",58045.594,1.1017773,,0,6,1,151.73917,0,0,1,550.88867,0,0,45,9,1,0
47,1,0,5753.9834,3,"Couple household, with children",128790.58,1.1017772,,0,10,1,134.87923,0,0,1,367.25906,0,0,8,1,1,1
48,1,0,5753.9834,6,Three generation household,93465.063,1.1017773,,0,9,0,0,0,0,0,0,0,0,18,3,1,1
49,0,0,4957.3501,3,"Couple household, with children",126264.16,1.1017772,,0,10,1,134.87923,0,0,1,367.25906,0,0,37,7,1,0
50,0,1,4957.3501,2,Other household types,69604.305,1.1017772,,0,7,0,0,0,0,0,0,0,0,77,15,1,0
51,0,0,4957.3501,4,"Couple household, with no children",94758.883,1.1017772,,0,9,0,0,0,0,0,0,0,0,45,9,1,0
52,0,1,4957.3501,1,"One-person household, 60+ years",121537.59,1.1017772,,0,10,0,0,0,0,0,0,0,0,85,16,1,0
53,0,0,4957.3501,6,Three generation household,135922.39,1.1017772,11.466144,0,10,1,33.719807,1,50000,1,183.62953,0,0,34,6,1,0
54,0,0,4957.3501,5,"Couple household, with children",107258.42,1.1017772,,0,9,1,97.113037,0,0,1,440.71088,0,0,10,2,0,0
55,0,0,4957.3501,5,"Couple household, with no children",43014.313,1.1017773,11.30275,0,4,0,0,0,0,0,0,0,0,53,10,0,0
56,0,0,4957.3501,18,"Couple household, with children",174372.84,1.1017772,10.481383,0,10,0,0,0,0,0,0,0,0,13,2,0,0
57,0,0,4957.3501,5,"Couple household, with children",60648.188,1.1017772,,0,6,1,48.556519,0,0,1,220.35544,0,0,36,7,0,1
58,0,0,4957.3501,3,"Couple household, with no children",287096.97,1.1017772,12.60562,0,10,0,0,0,0,0,0,0,0,47,9,0,0
59,0,0,4957.3501,4,"Couple household, with children",53670.938,1.1017772,11.316154,0,6,0,0,0,0,0,0,0,0,20,4,1,0
60,0,1,4957.3501,7,Three generation household,93893.219,1.1017773,11.454246,0,9,0,0,1,40000,0,0,0,0,28,5,1,0
61,1,0,4634.936,3,"Couple household, with children",67639.242,1.1017773,,0,7,0,0,0,0,0,0,0,0,54,10,1,0
62,1,1,4634.936,3,Three generation household,71224.188,1.1017773,11.600782,0,8,1,134.87924,0,0,1,367.25909,0,0,7,1,1,0
63,1,0,4634.936,3,"Couple household, with children",59162.723,1.1017772,,0,6,0,0,0,0,0,0,0,0,51,10,1,0
64,1,0,4634.936,2,Other household types,131616.88,1.1017772,,0,10,0,0,0,0,0,0,0,0,49,9,0,0
65,1,1,4634.936,4,Three generation household,68565.984,1.1017772,,0,7,0,0,1,35527,0,0,0,0,40,8,1,0
66,1,1,4634.936,3,Other household types,51701.852,1.1017772,,0,5,0,0,0,0,0,0,0,0,54,10,1,0
67,1,0,4634.936,8,Three generation household,62569.523,1.1017772,10.905152,0,7,1,18.96739,0,0,1,137.72215,0,0,43,8,0,0
68,1,1,4634.936,3,Other household types,156312.47,1.1017773,,0,10,0,0,0,0,0,0,0,0,48,9,1,0
69,1,1,4634.936,3,Other household types,88635.797,1.1017772,,0,9,0,0,1,16000,0,0,0,0,53,10,1,0
70,1,1,4634.936,1,"One-person household, 18-59 years",135096.41,1.1017772,,0,10,0,0,0,0,0,0,0,0,51,10,1,0
71,1,0,4634.936,2,"Couple household, with no children",160868.13,1.1017773,11.43434,0,10,0,0,0,0,0,0,0,0,57,11,0,0
72,1,0,4634.936,6,Three generation household,48071.969,1.1017773,,0,5,1,33.71981,0,0,1,183.62955,0,0,11,2,1,0
73,1,0,4493.1748,4,"Couple household, with children",41654.383,1.1017772,,0,4,1,75.86956,0,0,1,275.44431,0,0,10,2,0,0
74,1,0,4493.1748,4,"Couple household, with children",76837.68,1.1017772,,0,8,0,0,0,0,0,0,0,0,20,4,0,0
75,1,0,4493.1748,4,"Couple household, with children",57276.316,1.1017772,,0,6,0,0,0,0,0,0,0,0,44,8,1,0
76,1,0,4493.1748,3,"Couple household, with children",30120.219,1.1017773,,1,2,0,0,0,0,0,0,0,0,4,0,0,
77,1,0,4493.1748,2,"Couple household, with no children",60763.766,1.1017773,,0,7,0,0,0,0,0,0,0,0,63,12,1,0
78,1,0,4493.1748,6,"Couple household, with children",81525.258,1.1017773,,0,8,0,0,0,0,0,0,0,0,53,10,0,0
79,1,0,4493.1748,3,"Couple household, with children",61007.309,1.1017773,,0,7,0,0,0,0,0,0,0,0,58,11,0,0
80,1,0,4493.1748,3,"Couple household, with children",101838.73,1.1017773,11.163599,0,9,1,134.87924,0,0,1,367.25909,0,0,45,9,1,0
81,1,0,4493.1748,5,"Couple household, with children",74683.313,1.1017773,,0,8,1,97.11306,0,0,1,440.71094,0,0,38,7,1,0
82,1,0,4493.1748,4,"Couple household, with children",68566.617,1.1017772,,0,7,1,151.73912,0,0,1,550.88861,0,0,55,11,0,0
83,1,0,4493.1748,6,"Couple household, with children",47904.496,1.1017772,,0,5,1,33.719807,0,0,1,183.62953,0,0,12,2,1,0
84,1,0,4493.1748,3,Other household types,52207.203,1.1017772,10.999695,0,5,0,0,0,0,0,0,0,0,59,11,0,0
85,1,0,4995.0547,5,"Couple household, with children",43131.293,1.1017772,,0,4,1,97.113037,0,0,1,440.71088,0,0,6,1,0,0
86,1,0,4995.0547,6,"Couple household, with children",75032.164,1.1017773,,0,8,1,33.71981,0,0,1,183.62955,0,0,17,3,0,0
87,1,0,4995.0547,5,Three generation household,120064.17,1.1017772,10.615495,0,10,0,0,0,0,0,0,0,0,25,5,0,0
88,1,0,4995.0547,6,Three generation household,63378.074,1.1017772,10.751554,0,7,0,0,0,0,0,0,0,0,10,2,1,0
89,1,1,4995.0547,1,"One-person household, 18-59 years",143975.28,1.1017772,,0,10,0,0,0,0,0,0,0,0,19,3,1,0
90,1,0,4995.0547,4,"Couple household, with children",57727.75,1.1017772,,0,6,0,0,0,0,0,0,0,0,14,2,0,0
91,1,0,4995.0547,3,"Couple household, with no children",40000.68,1.1017772,,0,4,0,0,0,0,0,0,0,0,49,9,1,0
92,1,0,4995.0547,4,"Couple household, with children",90973.094,1.1017773,,0,9,0,0,0,0,0,0,0,0,49,9,0,1
93,1,0,4995.0547,4,"Couple household, with children",50060.055,1.1017773,,0,5,1,75.869583,0,0,1,275.44434,0,0,8,1,0,0
94,1,0,4995.0547,4,"Couple household, with children",49911.758,1.1017772,,0,5,0,0,0,0,0,0,0,0,4,0,1,
95,1,0,4995.0547,2,"Couple household, with no children",51685.152,1.1017773,,0,5,0,0,0,0,0,0,0,0,56,11,1,0
96,1,0,4995.0547,4,Three generation household,69388.133,1.1017772,,0,7,0,0,0,0,0,0,0,0,24,4,0,1
97,1,0,4244.3345,2,"Couple household, with no children",61583.313,1.1017772,,0,7,0,0,0,0,0,0,0,0,55,11,1,0
98,1,0,4244.3345,3,"Couple household, with no children",40398.313,1.1017772,10.905714,0,4,0,0,0,0,0,0,0,0,58,11,1,0
99,1,0,4244.3345,6,"Couple household, with children",99546.305,1.1017773,,0,9,1,33.71981,0,0,1,183.62955,0,0,9,1,1,0
100,1,0,4244.3345,7,"Couple household, with children",22550.805,1.1017772,,1,1,1,49.54747,0,0,1,314.79349,0,0,36,7,1,0
101,1,0,4244.3345,6,"Couple household, with children",25483.002,1.1017772,,1,1,1,33.719807,0,0,1,183.62953,0,0,12,2,0,0
102,1,0,4244.3345,2,Other household types,119303.74,1.1017773,,0,10,0,0,0,0,0,0,0,0,73,14,1,0
103,1,0,4244.3345,3,"Couple household, with children",147380.38,1.1017772,,0,10,0,0,0,0,0,0,0,0,15,3,1,0
104,1,0,4244.3345,5,"Couple household, with children",36694.523,1.1017772,,1,3,0,0,0,0,0,0,0,0,48,9,1,1
105,1,0,4244.3345,6,"Couple household, with children",12391.025,1.1017773,,1,1,1,33.71981,0,0,1,183.62955,0,0,20,4,0,0
106,1,0,4244.3345,3,"Couple household, with no children",50562.094,1.1017773,,0,5,0,0,0,0,0,0,0,0,44,8,0,0
107,1,0,4244.3345,3,Three generation household,70410,1.1017773,,0,7,0,0,0,0,0,0,0,0,46,9,1,0
108,1,0,4244.3345,3,"Couple household, with no children",53721.961,1.1017772,,0,6,0,0,0,0,0,0,0,0,36,7,0,1
109,1,0,3886.8811,3,"Couple household, with children",85688.148,1.1017772,,0,8,0,0,0,0,0,0,0,0,13,2,1,0
110,1,0,3886.8811,4,"Couple household, with children",83602.172,1.1017773,,0,8,1,75.869583,0,0,1,275.44434,0,0,3,0,1,
111,1,0,3886.8811,5,Three generation household,81955.617,1.1017772,10.959055,0,8,0,0,0,0,0,0,0,0,88,16,0,0
112,1,0,3886.8811,3,"Couple household, with children",61118.887,1.1017773,10.809879,0,7,0,0,0,0,0,0,0,0,36,7,1,0
113,1,0,3886.8811,4,"Couple household, with children",58470.035,1.1017773,,0,6,0,0,0,0,0,0,0,0,5,1,0,1
114,1,1,3886.8811,5,Three generation household,41303.086,1.1017772,,0,4,0,0,0,0,0,0,0,0,3,0,0,
115,1,0,3886.8811,4,"Couple household, with children",81412.648,1.1017772,,0,8,0,0,0,0,0,0,0,0,6,1,1,0
116,1,1,3886.8811,3,Three generation household,44846.234,1.1017772,10.645842,0,4,1,134.87923,0,0,1,367.25906,0,0,7,1,1,0
117,1,0,3886.8811,3,Other household types,59233.773,1.1017772,10.918679,0,6,0,0,0,0,0,0,0,0,54,10,0,0
118,1,1,3886.8811,2,Other household types,93246.758,1.1017772,,0,9,0,0,0,0,0,0,0,0,54,10,1,0
119,1,1,3886.8811,4,Skipped generation,38756.379,1.1017772,,0,3,1,151.73912,0,0,1,550.88861,0,0,70,14,1,0
120,1,0,3886.8811,4,"Couple household, with children",89201.867,1.1017772,,0,9,1,75.86956,0,0,1,275.44431,0,0,27,5,1,0
121,0,0,2478.675,7,"Couple household, with no children",115442.62,1.1017772,11.641037,0,10,0,0,0,0,0,0,0,0,38,7,1,0
122,0,0,2478.675,9,Three generation household,20713.02,1.1017773,,1,1,1,14.986583,0,0,1,122.4197,0,0,40,8,0,0
123,0,0,2478.675,3,Skipped generation,96571.875,1.1017772,10.647609,0,9,1,134.87923,0,0,1,367.25906,0,0,80,16,0,0
124,0,0,2478.675,7,"Couple household, with children",30383.219,1.1017772,10.566526,1,2,1,24.773735,0,0,1,157.39674,0,0,6,1,1,0
125,0,0,2478.675,5,"Couple household, with children",66731.43,1.1017772,,0,7,1,97.113037,0,0,1,440.71088,0,0,7,1,0,0
126,0,1,2478.675,2,Other household types,86506.734,1.1017772,,0,8,0,0,0,0,0,0,0,0,26,5,1,0
127,0,0,2478.675,3,"Couple household, with no children",81812.422,1.1017772,,0,8,0,0,0,0,0,0,0,0,52,10,1,0
128,0,0,2478.675,4,"Couple household, with children",64963.879,1.1017773,,0,7,1,75.869583,0,0,1,275.44434,0,0,11,2,1,0
129,0,0,2478.675,6,Three generation household,60715.883,1.1017772,,0,6,0,0,0,0,0,0,0,0,29,5,0,0
130,0,0,2478.675,3,"Couple household, with children",75502.477,1.1017772,,0,8,0,0,0,0,0,0,0,0,32,6,1,0
131,0,0,2478.675,3,"Couple household, with no children",40124.941,1.1017773,,0,4,0,0,0,0,0,0,0,0,57,11,0,0
132,0,0,2478.675,4,"Couple household, with children",60268.27,1.1017772,,0,6,1,75.86956,0,0,1,275.44431,0,0,9,1,1,0
133,1,1,4799.9517,2,Other household types,93149.461,1.1017772,,0,9,0,0,0,0,0,0,0,0,22,4,0,0
134,1,0,4799.9517,6,Three generation household,45143.109,1.1017772,,0,4,1,33.719807,0,0,1,183.62953,0,0,7,1,1,0
135,1,1,4799.9517,5,Single parent/caregiver (<60 years),68079.336,1.1017772,,0,7,1,97.113037,0,0,1,440.71088,0,0,9,1,0,0
136,1,0,4799.9517,3,"Couple household, with children",33013.477,1.1017773,,1,2,0,0,0,0,0,0,0,0,15,3,0,0
137,1,0,4799.9517,3,"Couple household, with no children",68413.703,1.1017772,10.911306,0,7,0,0,0,0,0,0,0,0,18,3,0,0
138,1,0,4799.9517,4,"Couple household, with no children",82058.5,1.1017772,10.951463,0,8,0,0,0,0,0,0,0,0,28,5,0,0
139,1,0,4799.9517,2,"Couple household, with no children",85297.586,1.1017773,11.167281,0,8,0,0,0,0,0,0,0,0,61,12,1,0
140,1,0,4799.9517,4,"Couple household, with children",44115.676,1.1017773,,0,4,0,0,0,0,0,0,0,0,14,2,1,0
141,1,0,4799.9517,4,"Couple household, with children",82547.789,1.1017773,11.056178,0,8,0,0,0,0,0,0,0,0,43,8,1,0
142,1,1,4799.9517,4,Single parent/caregiver (<60 years),45272.797,1.1017773,10.421644,0,4,1,75.869583,0,0,1,275.44434,0,0,38,7,1,0
143,1,0,4799.9517,2,"Couple household, with no children",88806.211,1.1017773,11.22871,0,9,0,0,0,0,0,0,0,0,61,12,1,0
144,1,0,4799.9517,4,"Couple household, with children",37767.887,1.1017772,,0,3,1,75.86956,0,0,1,275.44431,0,0,38,7,0,0
145,0,0,2704.0095,3,"Couple household, with no children",47437.277,1.1017772,,0,5,0,0,0,0,0,0,0,0,61,12,0,0
146,0,0,2704.0095,2,"Couple household, with no children",64510.203,1.1017772,,0,7,0,0,0,0,0,0,0,0,45,9,0,1
147,0,0,2704.0095,6,Three generation household,19517.602,1.1017773,10.803956,1,1,1,33.71981,0,0,1,183.62955,0,0,48,9,0,0
148,0,0,2704.0095,12,"Couple household, with children",45992.66,1.1017772,,0,5,1,8.4299517,0,0,1,91.814766,0,0,12,2,0,1
149,0,0,2704.0095,2,"Couple household, with no children",89192.117,1.1017772,,0,9,0,0,0,0,0,0,0,0,35,7,0,0
150,0,0,2704.0095,4,"Couple household, with no children",23142.799,1.1017772,,1,1,0,0,0,0,0,0,0,0,41,8,0,0
151,0,1,2704.0095,8,Other household types,21643.703,1.1017772,9.7692308,1,1,1,37.93478,0,0,1,275.44431,0,0,34,6,1,0
152,0,0,2704.0095,6,Three generation household,37342.004,1.1017773,,1,3,1,33.71981,0,0,1,183.62955,0,0,9,1,0,0
153,0,0,2704.0095,7,Three generation household,35362.59,1.1017772,10.999679,1,3,1,24.773735,0,0,1,157.39674,0,0,36,7,1,0
154,0,0,2704.0095,5,Three generation household,34286.977,1.1017772,,1,3,1,48.556519,0,0,1,220.35544,0,0,6,1,1,0
155,0,0,2704.0095,8,"Couple household, with children",29420.416,1.1017773,,1,2,1,18.967396,0,0,1,137.72217,0,0,22,4,1,0
156,0,1,2704.0095,6,Three generation household,66602.031,1.1017773,10.774325,0,7,1,33.71981,0,0,1,183.62955,0,0,36,7,0,0
157,1,1,2891.1392,5,Other household types,118901.73,1.1017772,11.13766,0,10,0,0,0,0,0,0,0,0,49,9,1,0
158,1,0,2891.1392,4,"Couple household, with children",72377.109,1.1017773,,0,8,1,75.869583,0,0,1,275.44434,0,0,16,3,1,0
159,1,0,2891.1392,4,"Couple household, with children",87272.258,1.1017772,,0,9,0,0,0,0,0,0,0,0,59,11,1,0
160,1,1,2891.1392,6,Other household types,57466.988,1.1017772,10.711036,0,6,1,33.719807,0,0,1,183.62953,0,0,9,1,1,0
161,1,0,2891.1392,3,"Couple household, with children",42075.488,1.1017773,,0,4,0,0,0,0,0,0,0,0,26,5,0,0
162,1,0,2891.1392,2,"Couple household, with no children",51612.316,1.1017773,11.244678,0,5,0,0,0,0,0,0,0,0,28,5,0,1
163,1,0,2891.1392,9,"Couple household, with children",27736.219,1.1017772,,1,2,1,44.95974,0,0,1,367.25906,0,0,8,1,1,0
164,1,0,2891.1392,7,Three generation household,143585.92,1.1017772,11.11958,0,10,0,0,1,18000,0,0,0,0,17,3,1,0
165,1,0,2891.1392,6,Three generation household,41737.594,1.1017772,,0,4,1,33.719807,0,0,1,183.62953,0,0,44,8,0,0
166,1,0,2891.1392,4,Three generation household,105249.57,1.1017772,10.976419,0,9,0,0,0,0,0,0,0,0,4,0,0,
167,1,0,2891.1392,3,"Couple household, with children",56671.355,1.1017772,10.940998,0,6,0,0,0,0,0,0,0,0,49,9,1,0
168,1,1,2891.1392,3,Three generation household,49289.777,1.1017772,10.789002,0,5,1,134.87923,0,0,1,367.25906,0,0,7,1,1,0
169,1,1,2544.4548,4,Other household types,57329.02,1.1017772,10.869699,0,6,0,0,0,0,0,0,0,0,35,7,1,0
170,1,0,2544.4548,3,"Couple household, with no children",122870.89,1.1017772,11.333447,0,10,0,0,0,0,0,0,0,0,65,13,1,0
171,1,0,2544.4548,5,Three generation household,31722.332,1.1017772,10.616558,1,2,1,48.556519,0,0,1,220.35544,0,0,70,14,0,0
172,1,0,2544.4548,3,"Couple household, with children",98008.742,1.1017772,11.261875,0,9,0,0,0,0,0,0,0,0,3,0,0,
173,1,0,2544.4548,7,Three generation household,45686.238,1.1017772,,0,5,0,0,0,0,0,0,0,0,59,11,1,0
174,1,0,2544.4548,6,"Couple household, with children",31642.973,1.1017772,,1,2,0,0,0,0,0,0,0,0,19,3,0,0
175,1,0,2544.4548,5,"Couple household, with no children",75572.813,1.1017772,11.324151,0,8,0,0,0,0,0,0,0,0,59,11,1,0
176,1,1,2544.4548,5,Three generation household,40237.875,1.1017772,10.952475,0,4,1,48.556519,0,0,1,220.35544,0,0,16,3,1,0
177,1,0,2544.4548,4,"Couple household, with children",58523.059,1.1017772,,0,6,1,75.86956,0,0,1,275.44431,0,0,51,10,1,0
178,1,1,2544.4548,2,Other household types,71590.609,1.1017772,,0,8,0,0,0,0,0,0,0,0,58,11,1,0
179,1,1,2544.4548,2,Other household types,66203.063,1.1017772,11.353064,0,7,0,0,0,0,0,0,0,0,58,11,1,0
180,1,0,2544.4548,5,Three generation household,55782.25,1.1017773,10.748511,0,6,1,48.55653,0,0,1,220.35547,0,0,29,5,0,0
181,1,0,5496.3413,4,"Couple household, with no children",70386.68,1.1017773,11.239656,0,7,0,0,0,0,0,0,0,0,46,9,1,0
182,1,0,5496.3413,5,"Couple household, with children",105830.37,1.1017773,,0,9,0,0,0,0,0,0,0,0,0,0,1,
183,1,0,5496.3413,4,"Couple household, with no children",44981.621,1.1017773,,0,4,0,0,0,0,0,0,0,0,18,3,1,0
184,1,0,5496.3413,2,"Couple household, with no children",95936.906,1.1017772,,0,9,0,0,0,0,0,0,0,0,60,12,0,0
185,1,1,5496.3413,1,"One-person household, 60+ years",63190.582,1.1017772,,0,7,0,0,0,0,0,0,0,0,68,13,1,0
186,1,0,5496.3413,3,"Couple household, with children",44966.875,1.1017773,,0,4,0,0,0,0,0,0,0,0,23,4,1,0
187,1,0,5496.3413,3,"Couple household, with children",39341.047,1.1017772,10.939147,0,3,1,134.87923,0,0,1,367.25906,0,0,6,1,1,0
188,1,0,5496.3413,2,"Couple household, with no children",104465.65,1.1017772,,0,9,0,0,0,0,0,0,0,0,72,14,0,0
189,1,0,5496.3413,3,"Couple household, with no children",77029.055,1.1017772,,0,8,0,0,0,0,0,0,0,0,61,12,1,0
190,1,0,5496.3413,3,"Couple household, with children",113255.38,1.1017773,,0,9,0,0,0,0,0,0,0,0,34,6,1,0
191,1,1,5496.3413,2,Other household types,213464.61,1.1017772,,0,10,0,0,0,0,0,0,0,0,23,4,1,0
192,1,0,5496.3413,3,"Couple household, with children",81169.617,1.1017773,11.313256,0,8,0,0,0,0,0,0,0,0,32,6,0,0
193,1,0,4197.8311,4,"Couple household, with no children",49962.957,1.1017772,,0,5,0,0,0,0,0,0,0,0,47,9,0,0
194,1,0,4197.8311,4,"Couple household, with no children",76029.969,1.1017772,,0,8,0,0,0,0,0,0,0,0,90,16,1,1
195,1,0,4197.8311,7,"Couple household, with no children",63878.07,1.1017773,10.704874,0,7,0,0,0,0,0,0,0,0,19,3,1,0
196,1,1,4197.8311,4,Other household types,53027.906,1.1017772,10.626278,0,6,0,0,0,0,0,0,0,0,37,7,0,1
197,1,0,4197.8311,4,"Couple household, with children",91480.523,1.1017772,,0,9,0,0,0,0,0,0,0,0,33,6,1,0
198,1,0,4197.8311,4,"Couple household, with children",57095.254,1.1017772,,0,6,0,0,0,0,0,0,0,0,46,9,1,0
199,1,0,4197.8311,2,"Couple household, with no children",76795.969,1.1017772,,0,8,0,0,0,0,0,0,0,0,41,8,1,0
200,1,1,4197.8311,2,Other household types,86978.75,1.1017773,,0,8,0,0,0,0,0,0,0,0,54,10,1,0
201,1,0,4197.8311,7,"Couple household, with children",45963.445,1.1017773,10.543512,0,5,1,24.773739,0,0,1,157.39676,0,0,46,9,1,1
202,1,0,4197.8311,5,Three generation household,79950.625,1.1017772,10.958843,0,8,0,0,0,0,0,0,0,0,61,12,1,0
203,1,0,4197.8311,2,"Couple household, with no children",48441.762,1.1017772,11.226427,0,5,0,0,0,0,0,0,0,0,72,14,1,0
204,1,1,4197.8311,2,Single parent/caregiver (<60 years),106592.13,1.1017772,10.92789,0,9,0,0,0,0,0,0,0,0,56,11,1,0
205,0,0,829.77252,3,Other household types,73086.055,.9847064,,0,8,0,0,0,0,0,0,0,0,64,12,1,0
206,0,1,829.77252,5,Three generation household,117249.79,.98470646,,0,10,0,0,0,0,0,0,0,0,46,9,1,0
207,0,1,829.77252,2,Other household types,159813.55,.98470646,11.990256,0,10,0,0,0,0,0,0,0,0,22,4,0,0
208,0,0,829.77252,3,"Couple household, with no children",253592.06,.98470652,12.894624,0,10,0,0,1,25000,0,0,0,0,18,3,0,0
209,0,0,829.77252,4,"Couple household, with children",57209.938,.98470646,,0,6,0,0,0,0,0,0,0,0,13,2,0,0
210,0,0,829.77252,7,Three generation household,39690.934,.98470646,11.370916,0,4,0,0,1,58000,0,0,0,0,2,0,0,
211,0,0,829.77252,5,"Couple household, with no children",46524.656,.98470646,11.205254,0,5,1,25602.367,1,39600,0,0,0,0,37,7,1,0
212,0,0,829.77252,3,"Couple household, with no children",146169.33,.9847064,,0,10,0,0,0,0,0,0,0,0,18,3,1,0
